Tweet,Date,Time,Favourite Count
"Dragon high altitude, supersonic abort test is a risky mission, as it’s pushing the envelope in so many ways",19-01-2020,15:27:06,77934
RT @SpaceX: Watch live as SpaceX tests Crew Dragon’s in-flight launch escape capabilities  https://t.co/lcfz0LS8O9,19-01-2020,15:25:07,0
5 mins from liftoff https://t.co/5CHzQBfXrr,19-01-2020,15:24:32,39471
RT @SpaceX: Standing down from today’s in-flight Crew Dragon launch escape test attempt due to sustained winds and rough seas in the recove…,19-01-2020,05:40:24,0
RT @Commercial_Crew: .@NASA and @SpaceX are standing down from today’s #CrewDragon In-Flight Abort test due to poor splashdown and recovery…,18-01-2020,20:44:40,0
@EvaFoxU Yes,18-01-2020,20:31:26,10604
https://t.co/MHokq4KVEc,18-01-2020,15:44:08,89946
Meteor!! https://t.co/PyXbRZR013,18-01-2020,09:17:53,309651
RT @SpaceX: Latest weather data suggests sustained winds and rough seas in the recovery area during the top of tomorrow’s four-hour launch…,18-01-2020,02:36:13,0
@JaneidyEve Yes,17-01-2020,22:13:48,1232
Best place to view is from the beach. Excitement guaranteed! https://t.co/6XSiK5dWEn,17-01-2020,22:10:12,8366
"Dragon Spacecraft supersonic abort test coming up either tomorrow or Sunday, depending on weather @NASA @SpaceX",17-01-2020,22:09:37,28410
RT @NASA: LIVE NOW: Hear from mission experts as they talk about @SpaceX's In-Flight Abort Test. The test will demonstrate #CrewDragon’s ab…,17-01-2020,22:06:59,0
@jm_marchante @kekai What should we change?,17-01-2020,22:02:59,906
"@kekai Munro’s analysis of Tesla engineering is accurate, both pro &amp; con. I think he will appreciate some elements… https://t.co/zn65OXOzDT",17-01-2020,21:55:53,2418
RT @arstechnica: SpaceX will shut down its rocket mid-flight to test Dragon’s escape system https://t.co/316e2oxTjP by @SciGuySpace,17-01-2020,21:30:05,0
"@Erdayastronaut @SPEXcast @SciGuySpace Even more important for a a reusable rocket, as cost of propellant actually… https://t.co/BiUiNAl63S",17-01-2020,10:31:00,2355
Hehehe https://t.co/bnlN7Vn6bl,17-01-2020,09:13:15,263158
