date,01-02-2020

31-1-2020,650.57
3-2-2020,780.0
null,null

@vm_one1 @Exhaustedpengu1 @RationalEtienne Would like to take a moment to thank Michael &amp; Ze’ev for helping Tesla.… https://t.co/yKkJyus8et,1361,17:07:24
@nichegamer 🤣,1865,17:02:08
@PicklePunchD @flcnhvy @thirdrowtesla @Gfilche @Sofiaan @Kristennetten @vincent13031925 Walk this way https://t.co/okyi7invhi,783,16:29:49
@flcnhvy @thirdrowtesla @Gfilche @Sofiaan @Kristennetten @vincent13031925 Great talking with @thirdrowtesla!,1715,16:24:06
@nichegamer https://t.co/RPcGOjPtfF,5660,16:17:46
"@vm_one1 @Exhaustedpengu1 @RationalEtienne Michael Marks, then Ze’ev Drori, but I helped out as co-CEO as they didn… https://t.co/z6WLECGESq",1522,14:10:55


date,22-01-2020

31-1-2020,650.57
3-2-2020,780.0
null,null

@GamingSpeedy We’re working on it,1380,13:04:04
"@AypierreMc Agreed, v important",31748,12:13:30
@thirdrowtesla Blazing Saddles,3259,12:02:54
@Kristennetten @tobyliiiiiiiiii Working on it,1863,07:23:38
@tobyliiiiiiiiii It’s on the list,12115,07:19:46
Want to play The Witcher game on your Tesla? (you can already watch the show on Tesla Netflix theater),87093,07:15:20
@ICannot_Enough @thirdrowtesla Explains the sad lack of progress in candy research!,4964,07:02:27
"@brianm853 Yeah, doors are 40 ft wide",1389,05:52:01
"@JaneidyEve Yeah, we just finished two more propellant domes. SpaceX team &amp; supporting suppliers are doing amazing… https://t.co/xcdEitlXNY",3954,05:49:57
@TJ_Cooney @SpaceX Nice shot,2812,05:47:00
Improved Accommodations https://t.co/iRBK2yIfd7,64061,05:45:08


date,23-01-2020

31-1-2020,650.57
3-2-2020,780.0
null,null

"@Everman @Erdayastronaut Yeah, system should adapt to most likely destination &amp; anticipate school, then work, if that’s owner preference",1558,20:33:35
@Everman @Erdayastronaut Definitely,874,20:30:47
@Erdayastronaut Ok,13610,20:29:34
"@SciGuySpace We should have a base on the moon, a city on Mars",6155,15:27:51
@flcnhvy @amancalledscott @ChrisDungeon @mithunoorath I love that Heart of Gold is moved by Infinite Improbability,3060,06:44:49
@amancalledscott @ChrisDungeon @mithunoorath We should strive to extend the light of consciousness into the cosmos,15850,06:12:10
@Nicchiban_ Star Peace ✌️,3967,05:25:05


date,24-01-2020

31-1-2020,650.57
3-2-2020,780.0
null,null

@Erdayastronaut @TrevorMahlmann @Tesla V3 Supercharger deployment will accelerate considerably this year,7070,18:00:26
https://t.co/sGnhzoThtK,155746,02:54:47


date,25-01-2020

31-1-2020,650.57
3-2-2020,780.0
null,null

@spongbob_facts Too niche,6278,21:18:36
"A Tesla works as a boat for short periods of time, as an electric car has no air intake or exhaust to block &amp; batte… https://t.co/8ZPd8iQIPr",47698,21:02:53
@flcnhvy Nice,8633,18:36:12
Meme necromancy https://t.co/8aPtXju7gF,119176,18:30:28
"@IheartTesla @EvaFoxU @Tesla Going with nomenclature of Giga [most widely understood location name] vs Giga #, so G… https://t.co/xpqnmuFN4a",2145,05:35:57
"@IheartTesla @EvaFoxU @Tesla For sure. Giga Berlin will build sustainable energy vehicles using sustainable energy,… https://t.co/tdS8m7tUNK",4246,05:31:10
@teslaownersSV @Kristennetten @EvaFoxU @Tesla Yes,1418,05:27:04
@HarryStoltz1 @EvaFoxU @Tesla Yes,1532,05:25:25
@Kristennetten @EvaFoxU @Tesla Exactly!,943,05:24:47
@EvaFoxU @Tesla Giga Berlin / GF4 will absolutely be designed with sustainability and the environment in mind,1470,05:22:39
@EvaFoxU @Tesla Sounds like we need to clear up a few things! Tesla won’t use this much net water on a daily basis.… https://t.co/0oi9YhR8yh,6222,05:17:04


date,26-01-2020

31-1-2020,650.57
3-2-2020,780.0
null,null

@EvaFoxU @Jf323Jf @naturenick The good old days!,1503,20:23:02
